Transaction Date,Transaction Month,Transaction Year,Time,UPI Number,UPI ID,Transaction Amount,Zip Code,Fraud
17,12,2021,23,7912088429,7.84117E+15,1753.57,76670,0
27,8,2021,11,3539798675,4.57507E+15,9552.92,86474,0
27,7,2021,9,7357027019,9.54419E+15,11584.63,64028,0
31,10,2024,21,7112176146,1.92161E+15,142.93,81128,0
10,10,2023,6,2487155478,6.85578E+15,12898.45,28108,0
28,2,2020,2,1957147206,4.33075E+15,2871.74,62495,0
28,6,2022,22,6171925318,2.84975E+15,8325.83,92806,1
16,6,2024,13,2159852414,6.07049E+15,6295.38,86533,1
15,3,2020,23,3697160148,6.13721E+15,10822.84,66830,0
30,11,2024,9,3700146405,8.49487E+15,5630.31,84640,0
30,2,2024,15,6977463284,9.71048E+15,13059.47,62509,0
15,12,2022,15,3294553705,1.48971E+15,10984.4,76406,1
30,1,2023,21,5024880299,4.51147E+15,9750.93,49519,1
19,6,2021,9,1707909963,3.01863E+15,11963.98,59649,0
12,12,2023,24,7494610338,1.39953E+15,11334.94,44524,1
23,5,2022,12,3869760393,4.01452E+15,635.49,43885,0
20,11,2022,5,9549642067,3.2181E+15,5981.54,54369,0
25,9,2022,11,4228945488,2.27189E+15,13969.03,40676,0
3,1,2020,8,7963649567,5.01383E+15,1973.29,74093,0
5,7,2023,12,8498553913,9.74774E+15,11082.74,57764,1
19,5,2023,3,2723906282,5.0883E+15,14621.42,60799,1
7,5,2024,23,3803643199,6.50132E+15,877.76,89414,0
21,2,2024,10,6016208777,4.39261E+15,10264.69,82307,1
9,11,2024,19,8260353829,9.62102E+15,7075.5,92062,1
7,3,2022,17,3327912272,2.65356E+15,8729.71,41923,0
18,7,2023,10,6533901116,1.24252E+15,1371.59,88388,1
4,6,2022,24,9606016933,6.73852E+15,740.8,57574,0
25,12,2020,20,9764314126,8.21722E+15,10036.31,53391,0
28,2,2024,3,2884236853,2.24758E+15,12367.31,63664,0
14,6,2022,17,4258779298,8.35925E+15,11752.03,77384,0
18,2,2022,0,1567011230,4.30657E+15,8202.71,41027,1
26,2,2020,6,6961267555,1.01589E+15,1588.02,45464,0
9,2,2021,5,7708423090,9.71473E+15,10351.86,44485,1
26,11,2023,14,3982825839,9.33907E+15,3704.14,29456,0
21,3,2021,17,1766191918,9.29062E+15,13674.92,84795,0
2,2,2024,23,5219845871,8.35136E+15,12590.15,45554,1
20,4,2022,10,8303822049,8.10179E+15,10669.81,56922,0
28,9,2020,19,3033805555,3.09721E+15,14237.8,23409,1
15,6,2020,23,7006930198,3.54194E+15,568.19,79327,1
28,1,2023,14,3340884702,6.56064E+15,11069.39,46639,0
7,8,2021,15,1122117585,8.02894E+15,5020.62,73627,0
12,12,2023,6,4305359930,7.15684E+15,13600.38,93424,0
29,7,2022,20,1034560717,8.418E+15,4073.46,29692,0
8,10,2023,9,4219636876,6.76498E+15,10900.36,99037,0
15,3,2020,11,6135489967,4.36464E+15,13176.94,88840,0
3,1,2020,23,1667725950,6.90457E+15,720.69,64200,1
14,5,2024,13,7466256885,4.63522E+15,6024.95,67415,1
17,4,2024,24,9956771422,3.32543E+15,11458.4,28074,0
4,10,2022,4,8937964521,7.08976E+15,6878.29,25549,1
18,8,2021,20,7761419891,3.59823E+15,4082.06,39963,1
8,1,2023,17,6693774067,8.03821E+15,3375.1,62265,0
4,10,2022,4,6654838440,9.57611E+15,2059.62,26061,0
2,1,2024,2,3764560702,4.76338E+15,12871.23,68226,1
30,12,2023,22,1267357092,6.27852E+15,8672.8,38810,0
6,4,2024,4,9605258817,6.38881E+15,1238.14,70006,1
22,8,2023,23,7248986016,1.72094E+15,5800.45,32800,0
10,5,2021,16,2639443001,9.99993E+15,5579.23,85476,1
4,2,2022,18,8858239600,1.53618E+15,2807.91,79460,1
22,6,2023,18,5448378835,4.80529E+15,6589.06,67767,1
29,5,2020,24,4928962931,5.9216E+15,5048.28,38054,1
31,2,2020,20,1667179476,4.62306E+15,5192.88,85319,0
18,11,2023,11,9293813767,3.29684E+15,11111.5,55397,0
26,11,2023,24,5919455940,2.48242E+15,3426.62,23233,1
12,11,2023,8,3576336391,8.13994E+15,9663.71,35068,1
2,3,2020,0,4611479543,9.94606E+15,8602.68,75727,0
10,9,2020,17,5326578761,7.67573E+15,8564.58,80453,0
30,7,2023,20,8333760278,2.08354E+15,9978.81,35832,1
4,7,2024,3,2177136769,1.29103E+15,8270.89,96242,1
14,11,2024,9,8084767960,3.35331E+15,13200.9,23682,1
31,6,2021,24,4211242867,1.27708E+15,10166.14,33383,1
16,8,2022,6,3189134568,5.35801E+15,8249.75,68160,1
15,4,2024,21,9331486150,7.23312E+15,12463.47,33666,0
8,8,2020,22,4677829003,8.09451E+15,9131.58,68817,1
14,4,2024,0,4533890932,8.95206E+15,4438.05,44642,0
23,8,2021,16,7304238798,5.31211E+15,3185.71,51830,0
28,9,2021,23,8936625521,7.72546E+15,2369.68,20234,0
25,3,2022,1,4368638701,5.99655E+15,13501.88,67616,1
30,3,2024,10,7330774358,2.66962E+15,10681.02,19221,0
8,11,2020,8,7096217206,5.40027E+15,14066.94,21410,0
21,2,2020,6,8549361882,2.09511E+15,9089.05,90055,0
16,10,2023,21,7659792623,6.1751E+15,7153.67,71413,0
13,3,2020,16,4069579655,1.05249E+15,989.78,11051,1
18,3,2022,16,7060503698,4.01655E+15,10107.47,85301,1
15,5,2022,1,4818521028,3.62394E+15,8774.91,86918,0
21,5,2020,5,4467879991,9.22886E+15,14854.11,88116,0
24,2,2020,13,2805478193,3.41788E+15,3663.47,66563,1
26,12,2023,5,3757215836,2.65869E+15,8007.99,54757,1
25,10,2020,1,2252884385,4.46626E+15,9799.26,87475,1
28,6,2023,0,5730250838,3.78102E+15,9704.41,61257,0
28,5,2023,9,4888210285,3.75595E+15,8463.27,10307,1
28,6,2020,20,4301743631,2.57646E+15,11676.23,66889,0
13,1,2021,4,3145861022,8.01725E+15,3154.22,78895,0
9,5,2021,1,7992457751,5.29606E+15,10911.85,45944,1
29,9,2023,21,9549783228,1.20351E+15,9334.05,48134,0
15,12,2020,15,2629907846,4.4831E+15,13451.52,37323,1
13,10,2021,24,9814912947,7.9413E+15,12723.2,81762,0
1,2,2020,1,6150596919,3.13379E+15,4795.69,97225,1
25,1,2020,9,5707403241,9.56005E+15,4215.94,35954,0
7,10,2020,1,7433874273,2.78516E+15,14726.63,65021,0
9,11,2024,15,7765879311,3.34826E+15,7956.25,99959,1
24,9,2020,15,6745041459,4.77721E+15,13605.67,89866,1
1,10,2024,18,5752188849,6.52824E+15,2541.83,80427,1
12,9,2023,6,6384607447,1.28088E+15,9678,14992,1
8,9,2021,21,5886134174,2.31719E+15,12166.92,11961,0
24,6,2021,11,3472993799,3.72363E+15,14216.19,22497,1
31,8,2021,23,7680343973,2.25796E+15,5126.37,42551,1
11,11,2021,14,6987561064,9.27049E+15,10902.22,86384,0
19,1,2021,7,9914731176,4.10082E+15,8128.31,65755,1
17,10,2021,5,8612509739,4.86077E+15,1003.37,23255,1
8,4,2021,9,8336036559,4.02135E+15,10381,14567,0
3,1,2023,2,3544744939,9.25548E+15,10382.44,58847,1
3,8,2020,18,8163674214,2.52127E+15,13966.04,58003,1
1,1,2022,16,1678244341,5.16689E+15,7509.96,30389,1
27,3,2024,6,8370978590,9.10278E+15,3530.74,54523,1
5,4,2022,20,2823493755,4.53266E+15,764,71576,1
10,8,2022,19,7598355883,1.45086E+15,6293.07,53919,1
7,6,2020,3,2088451340,9.72489E+15,4598.56,92103,0
26,10,2020,13,1764593278,3.3571E+15,11440.22,13358,1
9,12,2020,19,3355309907,3.97015E+15,5378.59,98535,0
28,7,2021,21,4346234626,9.66474E+15,14241.16,86524,0
7,8,2023,14,5739364064,6.27789E+15,14438.42,15698,0
9,2,2021,23,8890500982,1.49447E+15,9351.54,76809,0
8,10,2023,7,3438897771,8.35483E+15,13937.04,65805,1
12,11,2023,20,1676440439,6.81168E+15,11436.73,41349,1
2,8,2022,14,1493070776,2.85035E+15,8248.21,86777,1
1,3,2022,21,8492958504,9.47924E+15,2786.59,60248,0
16,7,2023,19,3632269266,2.13618E+15,6933.11,85033,1
23,3,2023,13,5938222942,1.81425E+15,8457.03,54041,1
23,7,2021,8,8953109912,6.82134E+15,12973.03,41954,1
30,11,2021,7,3638137950,9.08747E+15,7271.87,18002,0
24,12,2022,16,5090986113,6.71667E+15,13475.35,79783,0
5,2,2020,1,1887176334,3.67467E+15,10147.8,97234,1
3,10,2023,24,3931503487,9.29342E+15,2141.29,29738,0
12,6,2021,23,3734418047,3.0844E+15,14925.22,20703,0
8,3,2022,2,2061776424,5.63171E+15,7955.77,59422,1
22,3,2021,7,3888192491,5.42238E+15,5938.69,93106,0
27,9,2023,11,6476095325,6.65767E+15,9920.8,71899,0
3,7,2023,0,3732828653,8.27757E+15,1722.51,22392,1
1,5,2024,9,8939826021,2.61327E+15,9584.43,54724,0
3,12,2020,19,6347373609,6.82153E+15,7523.72,42299,0
5,10,2024,2,2137299367,5.2928E+15,6159.44,25641,0
15,7,2022,5,6309609791,1.24707E+15,14300,89534,0
14,9,2021,6,8177889853,6.97908E+15,7885.84,16305,0
3,1,2022,19,2303164815,5.03379E+15,3364.85,28782,0
1,7,2023,22,9199973149,9.02404E+15,6938.56,88257,0
5,6,2024,24,8803128620,4.6866E+15,13798.87,87963,0
26,10,2024,17,8497764905,9.12602E+15,2723.82,30566,1
23,12,2024,10,1590448250,7.14686E+15,3287.96,77766,1
31,9,2022,18,7393540226,8.13121E+15,294.14,16511,1
14,1,2023,4,9913704791,7.46602E+15,311.43,36177,1
7,4,2021,18,8076356748,8.48468E+15,12457.94,14765,0
27,9,2021,10,9316553056,3.19739E+15,11008.63,30354,1
9,4,2022,23,8947532977,5.61552E+15,5390.11,33929,1
15,10,2024,11,3641558507,3.24519E+15,10504.84,38820,0
15,3,2020,9,7376280671,8.55874E+15,5988.57,39523,0
26,9,2022,7,8197231317,2.07648E+15,14298.16,81088,0
10,2,2022,23,9621693986,5.05649E+15,14509.08,76163,0
28,4,2023,8,6963070680,3.99098E+15,5952.63,87525,0
13,6,2021,3,9233582985,9.57102E+15,12827.91,23780,1
19,2,2022,4,6492304283,9.86235E+15,11619.03,16589,0
31,8,2022,20,7978492533,6.14114E+15,4719,44812,1
7,8,2024,7,4311675207,9.73593E+15,3557.39,55939,1
17,1,2024,22,9911713382,2.27058E+15,6927.7,61493,0
20,12,2020,8,7251237690,6.41294E+15,11742.1,50953,1
29,3,2023,14,8846340348,9.63519E+15,14406.5,75785,1
4,10,2020,14,2996910242,6.98304E+15,11477.33,29309,0
30,9,2024,15,4390613411,8.17424E+15,12842.58,64195,1
5,5,2021,13,3587719238,4.4662E+15,9085.66,35901,1
23,6,2024,7,7410277083,1.73299E+15,12547.58,33576,1
7,4,2023,17,6664960824,5.33761E+15,11787.87,41508,0
13,10,2024,9,3522350258,2.16608E+15,5717.08,84711,0
15,2,2023,19,3874411194,5.10994E+15,8324.66,35464,0
11,11,2023,5,4733718208,5.85112E+15,12090.82,70281,1
29,8,2023,11,4785114633,8.08515E+15,786.25,26260,0
4,11,2023,1,1648413226,3.67258E+15,12140.38,45440,1
13,6,2023,6,4962256645,1.91132E+15,2750.53,66683,0
7,5,2021,15,6237589646,7.9625E+15,7768.79,51430,1
27,9,2020,2,6445015105,1.23402E+15,12143.3,11987,0
19,1,2022,12,4159967528,1.31084E+15,3881.93,35105,0
22,5,2020,2,1859704350,9.29288E+15,3762.53,88484,1
28,6,2023,17,7910976492,9.12576E+15,6101.19,23026,0
2,5,2021,10,2328524652,2.33969E+15,13430.18,78309,1
10,6,2024,7,1751330787,2.34176E+15,106.6,55927,0
13,6,2021,5,9263790068,7.93398E+15,13530.61,85414,0
30,7,2023,0,2112213216,1.64613E+15,2391.72,67535,1
25,4,2021,0,4264702295,8.22597E+15,14852.29,52946,1
21,11,2021,22,7616632966,8.48208E+15,14327.22,66561,1
6,8,2023,7,4475720459,4.83807E+15,7470.66,20377,0
28,7,2021,4,7780093485,8.849E+15,7739.53,63592,1
28,9,2022,15,2364624013,6.35836E+15,7275.09,17347,0
12,7,2022,10,4245401315,5.30199E+15,9568.11,43776,1
12,3,2021,4,1862759864,1.35043E+15,1451.75,13783,1
20,3,2024,3,8330658446,6.95546E+15,586.01,65798,1
30,8,2023,5,8594118648,4.90176E+15,959.77,14298,1
30,5,2022,13,4829805283,4.81826E+15,6721.04,80204,1
11,4,2024,21,4924620394,1.94769E+15,4205.66,96207,1
26,8,2021,18,7670267052,2.53476E+15,9368.39,65161,0
23,6,2024,8,2358325545,5.5072E+15,14887.39,70652,1
28,2,2020,11,2273025932,7.83931E+15,5856.22,44484,0
25,4,2022,10,2101659394,1.40654E+15,8650.23,30922,1
7,12,2021,13,7561417630,9.13936E+15,6292.5,44028,1
30,11,2023,22,7010239714,5.73434E+15,12724.35,30316,1
1,4,2021,15,7470884283,8.88518E+15,13543.32,86996,0
1,6,2023,0,4679478798,1.97608E+15,13172.6,26968,0
25,6,2021,12,6625106185,8.67029E+15,14618.15,40266,1
27,1,2024,22,4643034589,5.14228E+15,510.04,34000,0
30,8,2024,20,1824336576,5.74443E+15,12613.26,24011,1
25,6,2024,20,1878326395,1.90647E+15,11301.41,12866,1
20,3,2020,12,7032308331,6.73711E+15,3507.55,15898,0
13,9,2023,1,2354982448,1.74688E+15,14349.17,28395,0
9,2,2024,3,7172069441,7.96907E+15,2307.85,49019,0
3,11,2020,5,1015544818,6.18564E+15,10225.29,14006,0
7,8,2023,22,5834101755,8.48611E+15,3450.86,44393,1
6,10,2021,4,1080185717,2.3245E+15,6527.57,20956,0
8,3,2020,24,5542782033,4.38797E+15,10815.48,60042,0
27,12,2022,2,3089251315,4.68969E+15,8493.54,16078,1
9,5,2020,0,7695450201,6.28981E+15,6469.78,39631,0
30,6,2020,3,4190300751,8.13687E+15,4962.44,72901,0
5,10,2023,24,5927986543,3.37096E+15,12610.93,79497,0
1,6,2021,19,4547947960,1.21204E+15,2242.83,51574,0
19,4,2022,1,1307958006,3.92981E+15,6508.53,41417,1
10,3,2024,4,7913948176,1.99295E+15,13565.99,98020,1
12,4,2024,2,7826828802,9.80265E+15,12703.16,93639,0
24,1,2020,8,1009981932,2.02515E+15,6074.03,75006,0
15,4,2023,19,4040494896,3.43414E+15,11470.31,49454,1
27,1,2023,5,3208186322,8.2085E+15,12365.1,11587,0
22,12,2024,17,9866518672,5.65194E+15,13344.42,64710,0
24,1,2022,5,3058437237,3.54685E+15,8213.14,96567,0
9,10,2021,18,6252718754,1.45788E+15,3146.47,85886,0
20,6,2022,11,4866003935,7.07204E+15,3904.11,28816,0
17,5,2021,24,8765056958,9.93672E+15,4505.85,95824,0
30,11,2024,10,8886390663,5.32744E+15,8947.66,39432,0
17,4,2021,1,7757189765,1.50161E+15,588.86,58617,0
26,11,2023,14,6773269045,2.97844E+15,9577.03,82373,0
20,3,2020,11,3642865202,4.3279E+15,5528.88,44217,1
12,1,2020,11,4649168385,9.84207E+15,4499.1,30884,1
30,6,2024,8,3432949773,4.58496E+15,13204.5,15454,1
7,2,2023,20,1540404539,4.47894E+15,6954.04,84960,0
2,8,2022,23,1202236470,3.67794E+15,1516.29,53618,0
3,10,2023,1,6074575078,4.98641E+15,12418.53,93948,1
17,5,2020,21,5567682808,9.55304E+15,809.85,72671,0
5,7,2020,2,7552510376,2.95716E+15,10928.56,57111,1
17,10,2023,11,5346608635,2.94575E+15,11631.2,49613,0
24,12,2023,15,4199112626,5.3011E+15,5353.78,95678,1
17,2,2020,20,9650907052,8.52812E+15,12389.34,69993,1
27,8,2022,23,8018877278,2.6904E+15,7783.33,18848,1
17,2,2024,0,3232141949,5.05731E+15,7003.08,88672,0
2,4,2024,20,9517588922,4.54951E+15,776.51,76125,1
2,1,2023,2,9882197071,3.84073E+15,4421.43,96444,0
28,5,2024,19,2285892936,9.54335E+15,13972.05,71602,0
22,9,2020,1,2760899947,9.71287E+15,5938.18,82045,0
23,1,2020,8,9856793302,6.90588E+15,8245.84,52222,0
5,9,2023,18,3793923271,1.09452E+15,8027.12,59223,0
1,11,2023,14,1907413225,1.55987E+15,8897.42,75333,0
1,8,2023,17,3617042460,7.50157E+15,1013.83,62732,0
19,6,2022,10,4243198441,9.85129E+15,5496.43,59420,1
30,7,2024,24,5040165105,4.21702E+15,10874.61,85504,1
2,3,2023,22,6190214224,8.73488E+15,3088.35,12462,1
21,1,2021,15,1663619533,2.76842E+15,3133.32,19460,0
12,5,2021,21,8672980908,8.23673E+15,250.35,19275,0
26,12,2020,16,4092504204,9.05831E+15,6618.48,23269,0
6,12,2024,4,5569482854,9.47875E+15,13252.74,75942,0
23,2,2023,11,8875842567,2.3722E+15,873.32,82920,1
4,5,2021,10,7326423208,4.82324E+15,2947.67,32553,0
23,8,2024,14,9617748579,9.69272E+15,4720.26,34366,1
11,11,2020,2,6606051858,3.55584E+15,11002.7,54036,0
24,9,2022,0,5626276409,7.42052E+15,9645.47,27369,1
27,2,2024,19,8893461201,4.22051E+15,6297.56,21795,0
17,12,2024,15,9601378469,5.4147E+15,11410.13,80021,1
31,3,2022,1,6152866450,2.75291E+15,9183.5,78154,0
6,3,2024,1,6313966773,8.92424E+15,13451.01,40143,1
24,1,2020,2,6702452119,7.57034E+15,12288.6,39425,0
5,8,2020,7,6631024439,8.44823E+15,3866.92,98209,1
20,6,2022,23,7795091485,4.17807E+15,4144.43,85139,1
2,12,2023,14,1932313234,4.2827E+15,1967.81,15368,0
6,8,2021,6,5414426894,8.27197E+15,5120.77,14621,1
22,11,2023,5,8117749541,8.83006E+15,14993.2,68829,0
11,9,2024,8,9098274888,4.73078E+15,6145.69,70294,0
31,5,2021,19,3987667681,9.936E+15,3385.28,24719,0
16,12,2022,0,9614195167,7.49604E+15,11460.99,39227,1
16,3,2022,7,3447479568,6.74456E+15,8182.82,17566,1
1,5,2021,22,2143916683,9.646E+15,2329.06,22306,0
9,5,2020,22,1816139356,7.17057E+15,5772.28,63822,0
28,5,2021,2,5407250205,9.91287E+15,6275.6,34042,1
27,3,2024,3,5310037315,8.02926E+15,11332.06,25086,1
6,11,2020,24,9601747501,6.08503E+15,408,27387,1
16,10,2022,14,8401557763,9.33024E+15,4108.39,37042,0
29,4,2021,5,2394062873,2.17646E+15,7812.18,99424,0
3,9,2023,14,7065874003,8.5121E+15,4105.82,61618,0
20,10,2023,20,3838135462,6.57938E+15,9463.67,28323,0
28,9,2024,2,3916020763,4.18857E+15,7279.83,28019,0
27,2,2023,24,6552676194,8.38756E+15,5489.48,85426,1
4,8,2021,20,1099023594,2.88992E+15,14243.21,50863,0
19,8,2021,20,3875965503,4.79718E+15,9519.18,20283,1
26,7,2023,13,2297259756,5.36213E+15,2036.13,28279,1
3,8,2021,19,7559189632,6.48651E+15,8445.37,56999,0
31,3,2024,13,2933802805,9.94867E+15,11732.9,72780,1
19,6,2020,3,1405146564,6.77211E+15,10656.5,32908,0
20,1,2024,11,9884898390,8.18979E+15,2664.13,71584,1
7,7,2024,16,1779496445,3.03447E+15,14589.06,60225,0
20,1,2021,6,9269492364,8.5301E+15,6787.32,47952,0
9,9,2020,8,2357442245,9.46743E+15,2469.47,47663,1
1,1,2021,2,9328188731,1.67299E+15,2784.92,71381,0
8,1,2022,12,7568887596,7.73771E+15,1563.7,57929,1
7,7,2021,14,2317317026,7.04866E+15,12072.42,19343,0
18,2,2021,17,1886674586,3.82962E+15,1918.25,86173,0
8,5,2021,18,4282163446,6.71179E+15,1964.37,49791,0
1,8,2020,0,5596215621,3.07005E+15,12772.03,39134,1
11,8,2021,5,5253618515,6.55646E+15,5234.6,57101,1
28,3,2020,22,2275415725,2.48925E+15,559.78,79443,0
25,7,2023,1,9928627195,9.94304E+15,873.24,67530,1
25,3,2022,23,3490127897,6.61042E+15,2218.34,56799,0
18,6,2020,13,6912797848,1.85124E+15,3279.56,14827,1
23,6,2023,5,4468949496,7.63523E+15,10010.68,72653,1
31,3,2020,13,2341666847,7.31755E+15,2444.16,23699,0
30,7,2020,3,6143639713,4.94726E+15,1871.23,15313,0
10,3,2022,20,9151820788,7.0015E+15,11494.32,23598,0
3,8,2024,7,2100473492,5.69857E+15,10098.72,38807,0
7,10,2024,2,2422788370,1.15402E+15,6586.33,80423,0
28,4,2020,18,6778441942,2.56759E+15,8284.72,79390,1
16,1,2021,13,4411289767,9.60415E+15,4748.56,55226,1
26,4,2023,19,8138420891,5.9434E+15,7289.26,69550,0
16,7,2021,16,1219263272,8.63635E+15,7649.42,90072,0
25,11,2021,24,4825347745,3.07162E+15,5869.84,13558,0
20,4,2020,7,6937941894,1.53799E+15,13607.93,85308,1
28,6,2020,23,3290363686,6.99474E+15,339.32,60113,0
17,9,2020,13,4661184131,2.39837E+15,11754.35,62999,0
2,1,2020,5,2056517374,6.61517E+15,1953.3,65878,1
1,5,2024,22,7497518574,8.56735E+15,11983.46,46343,1
16,11,2020,21,3800096782,7.5351E+15,9277.09,68219,1
30,7,2024,15,5916805827,8.04137E+15,12664.84,45186,1
12,1,2024,24,3601228804,5.52668E+15,1552.96,46966,0
5,4,2020,18,8138453035,9.48246E+15,8428.81,43769,1
5,6,2022,13,5237772323,3.46306E+15,7566.21,63218,1
27,2,2023,18,8009360361,2.30053E+15,10622.28,29229,0
23,10,2021,2,2828500841,8.01941E+15,8060.93,85209,0
9,5,2024,9,3414586186,1.41724E+15,8156.95,37877,0
9,11,2023,18,5744585442,3.4446E+15,6500.98,68001,1
3,10,2022,8,2148791893,1.75378E+15,4701.63,48084,0
19,1,2021,19,4580298201,3.37078E+15,7285.74,91780,1
16,6,2021,12,2051977770,6.11122E+15,1865.54,26806,1
16,6,2024,6,3357726209,4.02961E+15,14426.55,98635,1
3,4,2020,13,7367944414,3.11545E+15,10744.72,47034,0
20,8,2022,8,8000233782,1.5711E+15,14291.76,50317,1
24,4,2024,22,8688503164,6.87217E+15,3478.24,65468,0
22,8,2022,24,8169550622,4.80829E+15,13202.18,29094,0
24,8,2020,18,5909276240,6.98311E+15,12150.97,67796,0
1,5,2020,14,1024113655,9.66456E+15,10189.57,20589,1
24,4,2024,19,6811429804,2.75936E+15,9412.93,67221,1
20,12,2020,13,9025282880,2.0378E+15,4816.59,11657,1
11,2,2023,23,3806599152,8.978E+15,12264.52,49531,0
17,11,2021,5,7416858598,1.43431E+15,7572.58,62227,1
8,3,2024,20,8214016993,5.72354E+15,1156.28,13164,1
4,3,2022,3,9933419445,4.26681E+15,4761.66,93973,1
6,4,2023,7,7734433028,1.18969E+15,14035.93,51247,1
8,4,2024,16,1999697424,6.04422E+15,12775.14,29601,1
20,10,2020,8,9207908202,2.41374E+15,14730.39,60599,0
30,11,2020,0,9160392135,8.96342E+15,9457.1,81545,0
3,11,2020,23,2020322234,8.49187E+15,3787.9,14552,0
16,5,2020,19,1786212772,5.04936E+15,2525.94,19417,0
30,4,2022,24,4032098531,2.39625E+15,2885.03,68579,1
25,11,2023,13,6749197897,4.00829E+15,394.96,78207,0
3,10,2021,10,6113897649,7.02052E+15,5921.16,82055,1
25,8,2022,20,3394286281,1.5606E+15,2952.27,88270,0
29,6,2022,2,7424277634,2.00065E+15,6233.67,13722,0
18,6,2021,8,8525821407,9.92172E+15,14031.42,80442,0
14,8,2021,13,8057830390,5.90573E+15,6515.05,50031,1
18,7,2020,8,2331089312,2.19165E+15,13181.97,89235,1
2,10,2022,3,5035548642,7.14906E+15,9122.02,31438,0
22,11,2024,3,9990721079,7.52271E+15,3782.26,68819,1
3,12,2021,7,5187369300,5.49541E+15,5402.24,53856,0
16,10,2021,1,3758602043,3.02575E+15,1350.4,43576,0
29,8,2023,8,6903838465,1.24025E+15,5068.59,51938,0
9,2,2024,13,5798017531,5.34917E+15,10195.36,59028,1
4,9,2024,21,6128891311,3.33404E+15,1174.46,69807,0
1,1,2021,8,1808076976,2.33969E+15,3160.48,59877,0
4,8,2020,23,5405464041,4.89228E+15,5783.47,53461,0
1,12,2023,22,4152921995,6.64914E+15,14732.54,50469,1
14,11,2024,15,6670499075,8.39701E+15,11794.44,93136,0
21,12,2021,16,9196090877,8.43607E+15,11028.95,30435,1
16,12,2024,15,7502403241,3.67601E+15,1831.25,94117,0
20,4,2023,11,1178985975,2.72401E+15,11736.84,24191,1
24,4,2023,2,5258640857,7.73018E+15,11800.51,94726,0
8,5,2022,10,7489373673,5.03307E+15,9056.43,37386,0
7,8,2021,13,9472512966,5.86344E+15,14856.39,41721,1
3,5,2023,17,1196228400,9.6868E+15,4946.28,64786,1
17,8,2022,20,8676999020,8.77984E+15,14124.96,23704,0
1,10,2022,20,9457419694,6.12458E+15,13729.49,66635,1
16,1,2024,4,6765896858,5.56442E+15,271.06,12123,0
12,12,2024,15,5966836739,4.63459E+15,6806.74,72993,0
27,10,2022,19,7750488633,3.29336E+15,14658.85,90122,0
19,9,2024,4,2363714525,8.18678E+15,1636.51,35416,1
22,6,2023,2,9403572720,2.46424E+15,8261.99,11814,0
23,3,2020,11,8375821355,3.00068E+15,14686.47,88537,1
22,8,2023,0,1343416755,1.34312E+15,8376.88,60258,0
14,9,2022,20,4567986970,1.60412E+15,2928.25,26508,1
30,6,2022,8,7387804776,7.50968E+15,8774.53,95166,1
6,11,2023,8,5055529447,7.91439E+15,3146.16,88916,0
